pharmacy_id,pharmacy_name,area,latitude,longitude,address,pharmacist_name,contact_number,open_time,close_time
PH001,Andheri MedPlus,Andheri,19.04589,72.985871,"04/83, Goda Ganj, Andheri, Mumbai",Ojasvi Pai,+91 7081946048,08:00,22:00
PH002,Bandra Apollo Pharmacy,Bandra,19.131679,72.901378,"48, Lalla Ganj, Bandra, Mumbai",Om Balakrishnan,+91 7731428289,08:00,22:00
PH003,Dadar MedPlus,Dadar,18.993444,72.795139,"51, Mammen Marg, Dadar, Mumbai",Janani Chauhan,+91 9217481482,08:00,22:00
PH004,Powai MedPlus,Powai,18.96994,72.965582,"H.No. 72, Mandal Zila, Powai, Mumbai",Kashvi Varkey,+91 8934965302,08:00,22:00
PH005,Chembur MedPlus,Chembur,19.100268,72.927637,"19/20, Oommen, Chembur, Mumbai",Robert Raghavan,+91 7097622280,08:00,22:00
PH006,Borivali Apollo Pharmacy,Borivali,18.96094,72.990478,"58, Ravel Path, Borivali, Mumbai",Neelima Gaba,+91 7762376237,08:00,22:00
PH007,Thane City Chemist,Thane,19.155786,72.808661,"H.No. 57, Chadha Street, Thane, Mumbai",Jeevika Rajagopal,+91 7086983563,08:00,22:00
PH008,Goregaon Apollo Pharmacy,Goregaon,18.999638,72.801717,"30/016, Ahluwalia Ganj, Goregaon, Mumbai",Christopher Bir,+91 9346295181,08:00,22:00
PH009,Malad City Chemist,Malad,19.029018,72.883642,"H.No. 97, Sibal Path, Malad, Mumbai",Gaurav Nair,+91 8374638893,08:00,22:00
PH010,Vile Parle Generic Aid,Vile Parle,19.059667,72.827595,"H.No. 88, Sundaram Chowk, Vile Parle, Mumbai",Thomas Gala,+91 8930946463,08:00,22:00
PH011,Kurla MedPlus,Kurla,19.102845,72.791179,"H.No. 960, Das Ganj, Kurla, Mumbai",Nathaniel Aurora,+91 9486430926,08:00,22:00
PH012,Worli Generic Aid,Worli,19.026115,72.845627,"H.No. 654, Dayal Street, Worli, Mumbai",Anmol Sastry,+91 8114946421,08:00,22:00
